1986,43.263206,-79.812927,1231,1,,
1987,43.267206,-79.823914,1046,1,,
1993,43.227194,-79.950256,1156,1,,
1994,43.227194,-79.955750,1156,1,,
1995,43.223191,-79.961243,602,1,,
1996,43.227194,-79.961243,201,1,,
1997,43.227194,-79.966736,132,1,,
2000,43.239200,-79.966736,108,1,,
2001,43.239200,-79.961243,105,1,,
2002,43.243202,-79.955750,106,1,,
2003,43.243202,-79.950256,125,1,,
2004,43.247203,-79.944763,136,1,,
2005,43.251204,-79.939270,131,1,,
2006,43.251204,-79.933777,112,1,,
2007,43.251204,-79.928284,135,1,,
2008,43.251204,-79.922791,61,1,,
2009,43.255205,-79.922791,33,1,,
2010,43.259206,-79.917297,2698,6,,
2011,43.263206,-79.917297,2977,10,,
2012,43.263206,-79.911804,4082,7,,
2013,43.263206,-79.906311,3454,7,,
2014,43.263206,-79.900818,3581,6,,
2015,43.259206,-79.900818,4364,3,,
2016,43.259206,-79.895325,1591,3,,
2017,43.259206,-79.889832,1414,3,,
2018,43.255205,-79.878845,1510,3,,
2019,43.247203,-79.856873,1527,15,,
2020,43.247203,-79.840393,1817,7,,
2021,43.247203,-79.834900,1359,7,,
2022,43.247203,-79.801941,2241,6,,
2023,43.247203,-79.796448,2765,6,,
2024,43.247203,-79.790955,3462,4,,
2025,43.243202,-79.790955,1516,8,,
2026,43.243202,-79.785461,2443,7,,
2027,43.243202,-79.779968,2372,7,,
2028,43.243202,-79.774475,3508,4,,
2029,43.239200,-79.774475,3641,4,,
2032,43.263206,-79.889832,2091,3,,
2033,43.255205,-79.785461,6930,2,,
2034,43.255205,-79.779968,5951,3,,
2035,43.259206,-79.774475,9277,2,,
2036,43.255205,-79.774475,9517,2,,
2037,43.251204,-79.774475,7119,3,,
2038,43.247203,-79.774475,2444,3,,
2042,43.243202,-79.818420,2420,33,,
2043,43.239200,-79.818420,1773,13,,
2044,43.243202,-79.823914,3235,18,,
2045,43.239200,-79.823914,2085,21,,
2046,43.251204,-79.867859,2189,15,,
2053,43.223191,-79.856873,957,4,,
2054,43.247203,-79.829407,771,7,,
2055,43.263206,-79.895325,1440,2,,
2056,43.259206,-79.922791,7988,2,,
2088,43.239200,-79.790955,1271,8,,
2101,43.243202,-79.834900,1957,13,,
2102,43.243202,-79.840393,1928,6,,
2107,43.255205,-79.801941,665,10,,
2112,43.251204,-79.801941,1297,10,,
2113,43.255205,-79.807434,815,6,,
2130,43.235198,-79.790955,1038,5,,
2131,43.235198,-79.796448,1007,4,,
2132,43.239200,-79.796448,1723,5,,
2133,43.239200,-79.807434,865,14,,
2134,43.239200,-79.801941,932,6,,
2135,43.267206,-79.906311,4134,3,,
2136,43.267206,-79.911804,3467,3,,
